0002002554,12:37:20,2016/08/30,OK(1) B=26 V=2626549
0002000066,12:38:42,2016/08/30,OK(1) B=26 V=2621573
0001953987,12:43:27,2016/08/30,OK(1) B=26 V=2598343
0002002121,12:46:25,2016/08/30,OK(1) B=26 V=2625683
0001953251,12:49:25,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:27,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:28,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:33,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:35,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:37,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:38,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:40,2016/08/30,OK(1) B=26 V=2596871
0001953251,12:49:49,2016/08/30,OK(1) B=26 V=2596871
0001953085,12:51:26,2016/08/30,OK(1) B=26 V=36150970
0001953620,12:59:11,2016/08/30,OK(1) B=26 V=2597608
0001953623,13:00:23,2016/08/30,OK(1) B=26 V=2597614
0002000655,13:04:24,2016/08/30,OK(1) B=26 V=2622751
0001953213,13:05:35,2016/08/30,OK(1) B=26 V=36151227
0002000655,13:09:54,2016/08/30,OK(1) B=26 V=2622751
0001953804,13:11:13,2016/08/30,OK(1) B=26 V=2597977
0002001058,13:12:02,2016/08/30,OK(1) B=26 V=2623556
0001953164,13:15:31,2016/08/30,OK(1) B=26 V=36151129
0002002425,13:15:33,2016/08/30,OK(1) B=26 V=2626290
0002000472,13:22:30,2016/08/30,OK(1) B=26 V=2622384
0002001058,13:22:33,2016/08/30,OK(1) B=26 V=2623556
0001953328,13:25:59,2016/08/30,OK(1) B=26 V=2597025
0001953894,13:32:37,2016/08/30,OK(1) B=26 V=2598157
0002000878,13:38:32,2016/08/30,OK(1) B=26 V=2623196
0001953057,13:43:25,2016/08/30,OK(1) B=26 V=36150915
0002000472,13:45:53,2016/08/30,OK(1) B=26 V=2622384
0002000472,13:49:03,2016/08/30,OK(1) B=26 V=2622384
0002003089,13:49:48,2016/08/30,OK(1) B=26 V=2627619
0002000342,13:50:47,2016/08/30,OK(1) B=26 V=2622124
0002000363,13:52:35,2016/08/30,OK(1) B=26 V=2622167
0002000363,13:52:57,2016/08/30,OK(1) B=26 V=2622167
0001954537,14:00:36,2016/08/30,OK(1) B=26 V=2599443
0001953711,14:04:12,2016/08/30,OK(1) B=26 V=2597790
0001954320,14:07:35,2016/08/30,OK(1) B=26 V=2599008
0001954592,14:09:52,2016/08/30,OK(1) B=26 V=2599552
0002003074,14:12:13,2016/08/30,OK(1) B=26 V=2627588
0002000665,14:12:17,2016/08/30,OK(1) B=26 V=2622770
0001954234,14:13:53,2016/08/30,OK(1) B=26 V=2598836
0002000798,14:15:42,2016/08/30,OK(1) B=26 V=2623037
0001954458,14:15:43,2016/08/30,OK(1) B=26 V=2599285
0002001018,14:19:05,2016/08/30,OK(1) B=26 V=2623477
0002001018,14:19:08,2016/08/30,OK(1) B=26 V=2623477
0002000167,14:20:25,2016/08/30,OK(1) B=26 V=2621774
0002001566,14:22:21,2016/08/30,OK(1) B=26 V=2624573
0001953319,14:25:02,2016/08/30,OK(1) B=26 V=2597007
0002002539,14:25:05,2016/08/30,OK(1) B=26 V=2626519
0002002184,14:26:59,2016/08/30,OK(1) B=26 V=2625808
0002000625,14:29:57,2016/08/30,OK(1) B=26 V=2622690
0000141490,14:32:45,2016/08/30,OK(1) B=26 V=33768484
0001954686,14:32:49,2016/08/30,OK(1) B=26 V=2599740
0001953313,14:34:02,2016/08/30,OK(1) B=26 V=2596995
0002001328,14:35:07,2016/08/30,OK(1) B=26 V=2624097
0001953313,14:35:10,2016/08/30,OK(1) B=26 V=2596995
0002002341,14:38:00,2016/08/30,OK(1) B=26 V=2626122
0001954234,14:41:43,2016/08/30,OK(1) B=26 V=2598836
