20150603.txtl
0001954376,19:16:02,2015/06/02l
0002000117,19:19:39,2015/06/02l
0002000117,19:19:41,2015/06/02l
0001954410,19:29:52,2015/06/02l
0001953541,19:35:35,2015/06/02l
0001953888,19:46:02,2015/06/02l
0001954412,19:53:36,2015/06/02l
0002000445,19:59:21,2015/06/02l
0002000445,19:59:31,2015/06/02l
0002000445,19:59:36,2015/06/02l
0002000447,19:59:42,2015/06/02l
0002000446,19:59:44,2015/06/02l
0002000447,19:59:47,2015/06/02l
0002000446,19:59:55,2015/06/02l
0002000445,20:00:08,2015/06/02l
0001953992,20:05:09,2015/06/02l
0001954412,20:06:37,2015/06/02l
0001954412,20:09:15,2015/06/02l
0001954412,20:13:24,2015/06/02l
0001953775,20:16:59,2015/06/02l
0002001088,20:18:48,2015/06/02l
0001954412,20:23:52,2015/06/02l
0001953402,20:26:59,2015/06/02l
0001953705,20:28:44,2015/06/02l
0002001096,20:33:54,2015/06/02l
0002001096,20:33:58,2015/06/02l
0001953677,20:39:14,2015/06/02l
0001953469,20:42:39,2015/06/02l
0001954376,20:54:22,2015/06/02l
0001954407,21:08:10,2015/06/02l
0001953501,21:22:05,2015/06/02l
0001953832,21:31:28,2015/06/02l
0001953799,21:33:15,2015/06/02l
0001953233,21:35:57,2015/06/02l
0001953949,22:02:08,2015/06/02l
0001953910,22:22:19,2015/06/02l
0001954429,22:23:29,2015/06/02l
0001953757,22:26:11,2015/06/02l
0001954246,22:31:21,2015/06/02l
0001953469,22:37:42,2015/06/02l
0001953305,22:38:27,2015/06/02l
0001953631,23:21:26,2015/06/02l
0001954410,23:33:24,2015/06/02l
